#
#  Z   A s fl     Mexp      Err       Mth    beta20  beta22  Gamma  beta30  beta32  beta4    Rch
#                [MeV]     [MeV]     [MeV]                                                   [fm]
#----------------------------------------------------------------------------------------------------
   0   1 n  2     8.071     0.000
   6  15 C  2     9.873     0.001
   6  16 C  2    13.694     0.004
   6  17 C  2    21.032     0.017
   6  18 C  2    24.919     0.030
   6  19 C  2    32.414     0.098
   6  20 C  2    37.504     0.231
   6  21 C  1    45.643     0.596
   6  22 C  2    53.611     0.231
   6  23 C  1    64.171     0.997
   7  10 N  2    38.800     0.400
   7  11 N  2    24.366     0.005
   7  12 N  2    17.338     0.001
   7  13 N  2     5.345     0.000
   7  14 N  2     2.863     0.000
   7  15 N  2     0.101     0.000
   7  16 N  2     5.684     0.002
   7  17 N  2     7.870     0.015
   7  18 N  2    13.113     0.019
   7  19 N  2    15.856     0.016
   7  20 N  2    21.766     0.079
   7  21 N  2    25.232     0.134
   7  22 N  2    31.765     0.208
   7  23 N  2    36.720     0.421
   7  24 N  1    46.938     0.401
   7  25 N  1    55.983     0.503
   8  11 O  2    47.739     0.060
   8  12 O  2    32.013     0.012
   8  13 O  2    23.115     0.010
   8  14 O  2     8.008     0.000
   8  15 O  2     2.856     0.000
   8  16 O  2    -4.737     0.000    -4.510   0.230   0.000   0.000   0.000   0.000   0.110   2.811
   8  17 O  2    -0.809     0.000    -0.230   0.311   0.000   0.000   0.000   0.000   0.210   2.803
   8  18 O  2    -0.783     0.000    -2.630   0.205   0.065  24.150   0.000   0.000   0.080   2.793
   8  19 O  2     3.333     0.003     2.380   0.245   0.057  18.210   0.000   0.000   0.090   2.796
   8  20 O  2     3.796     0.001     2.160   0.220   0.080  27.210   0.000   0.000   0.080   2.800
   8  21 O  2     8.062     0.012     8.470   0.240   0.066  21.250   0.000   0.000   0.070   2.803
   8  22 O  2     9.283     0.057    10.100   0.175   0.065  27.710   0.000   0.000   0.050   2.798
   8  23 O  2    14.621     0.122    16.990   0.108   0.114  56.180   0.000   0.000   0.060   2.803
   8  24 O  2    18.500     0.165    20.870   0.130   0.060  33.130   0.000   0.000   0.050   2.806
   8  25 O  2    27.329     0.165    29.730   0.090   0.100  57.530   0.000   0.000   0.070   2.822
   8  26 O  2    34.661     0.165    36.110   0.170   0.050  22.580   0.000   0.000   0.170   2.837
   8  27 O  1    44.670     0.500    46.080   0.257   0.231  51.810   0.000   0.000   0.500   2.878
   8  28 O  1    52.080     0.699    53.300   0.130   0.080  41.030   0.000   0.000   0.150   2.868
   8  29 O  0                        63.030   0.214   0.130  40.670   0.000   0.000   0.500   2.923
   8  30 O  0                        69.620   0.017   0.001   4.760   0.000   0.000   0.500   2.921
   8  31 O  0                        78.870   0.168   0.003   1.450   0.000   0.000   0.500   2.946
   8  32 O  0                        86.880   0.010   0.000   0.000   0.000   0.000   0.500   2.994
   8  33 O  0                        96.190   0.027   0.001   3.000   0.000   0.000   0.500   3.021
   8  34 O  0                       104.600   0.016   0.001   5.050   0.000   0.000   0.500   3.071
   8  35 O  0                       113.920   0.047   0.048  55.300   0.000   0.000   0.500   3.111
   8  36 O  0                       122.800   0.014   0.001   5.770   0.000   0.000   0.500   3.149
   8  37 O  0                       132.060   0.000   0.000   0.000   0.000   0.000   0.500   3.180
   9  13 F  1    42.030     0.500
   9  14 F  2    31.964     0.041
   9  15 F  2    16.567     0.014
   9  16 F  2    10.675     0.005
   9  17 F  2     1.952     0.000     3.180   0.255   0.001   0.320   0.000   0.000   0.160   2.907
   9  18 F  2     0.873     0.000     0.610   0.248   0.000   0.000   0.000   0.000   0.150   2.868
   9  19 F  2    -1.487     0.000    -3.140   0.252   0.044  13.870   0.000   0.000   0.110   2.872
   9  20 F  2    -0.017     0.000     0.250   0.259   0.007   2.190   0.000   0.000   0.090   2.872
   9  21 F  2    -0.048     0.002    -1.800   0.284   0.064  17.680   0.000   0.000   0.120   2.881
   9  22 F  2     2.793     0.012     2.570   0.282   0.055  15.420   0.000   0.000   0.100   2.878
   9  23 F  2     3.285     0.033     2.780   0.253   0.065  19.970   0.000   0.000   0.100   2.887
   9  24 F  2     7.545     0.098     8.630   0.205   0.095  33.240   0.000   0.000   0.080   2.888
   9  25 F  2    11.334     0.096    11.520   0.198   0.067  25.570   0.000   0.000   0.060   2.898
   9  26 F  2    18.675     0.107    19.330   0.100   0.110  57.270   0.000   0.000   0.040   2.906
   9  27 F  2    25.133     0.120    24.380   0.210   0.070  25.240   0.000   0.000   0.100   2.932
   9  28 F  2    33.404     0.120    33.460   0.190   0.010   4.260   0.000   0.000   0.100   2.945
   9  29 F  2    40.150     0.525    39.670   0.200   0.070  26.330   0.000   0.000   0.120   2.960
   9  30 F  1    48.960     0.500    48.930   0.390   0.000   0.000   0.000   0.000   0.410   2.975
   9  31 F  1    56.843     0.535    56.390   0.280   0.080  22.000   0.000   0.000   0.240   2.991
   9  32 F  0                        65.780   0.410   0.060  11.690   0.000   0.000   0.250   2.998
   9  33 F  0                        73.770   0.290   0.090  23.700   0.000   0.000   0.330   3.014
   9  34 F  0                        83.130   0.430   0.011   2.070   0.000   0.000   0.500   3.045
   9  35 F  0                        90.690   0.300   0.000   0.000   0.000   0.000   0.500   3.065
   9  36 F  0                        99.920   0.250   0.030   9.630   0.000   0.000   0.500   3.130
   9  37 F  0                       108.130   0.230   0.001   0.350   0.000   0.000   0.500   3.126
   9  38 F  0                       117.320   0.310   0.080  20.050   0.000   0.000   0.500   3.164
  10  15 Ne 2    40.215     0.067
  10  16 Ne 2    23.987     0.020
  10  17 Ne 2    16.500     0.000
  10  18 Ne 2     5.318     0.000     3.600   0.200   0.070  26.330   0.000   0.000   0.080   2.985
  10  19 Ne 2     1.752     0.000     0.130   0.256   0.046  14.260   0.000   0.000   0.110   2.959
  10  20 Ne 2    -7.042     0.000    -7.890   0.260   0.090  26.080   0.000   0.000   0.110   2.966
  10  21 Ne 2    -5.732     0.000    -6.540   0.500   0.003   0.490   0.000   0.000   0.260   2.999
  10  22 Ne 2    -8.025     0.000    -8.790   0.290   0.080  21.310   0.000   0.000   0.100   2.957
  10  23 Ne 2    -5.154     0.000    -5.860   0.259   0.070  20.920   0.000   0.000   0.070   2.943
  10  24 Ne 2    -5.952     0.001    -7.230   0.260   0.080  23.520   0.000   0.000   0.090   2.960
  10  25 Ne 2    -2.036     0.029    -3.170   0.224   0.079  26.510   0.000   0.000   0.060   2.958
  10  26 Ne 2     0.481     0.018    -0.930   0.200   0.080  29.500   0.000   0.000   0.050   2.971
  10  27 Ne 2     7.051     0.091     5.710   0.177   0.000   0.000   0.000   0.000   0.020   2.972
  10  28 Ne 2    11.300     0.126     9.590   0.210   0.070  25.240   0.000   0.000   0.060   3.002
  10  29 Ne 2    18.400     0.150    17.730   0.160   0.010   5.050   0.000   0.000   0.040   3.008
  10  30 Ne 2    23.280     0.253    22.790   0.200   0.070  26.330   0.000   0.000   0.080   3.030
  10  31 Ne 2    31.182     0.266    31.640   0.310   0.060  15.310   0.000   0.000   0.280   3.046
  10  32 Ne 1    36.999     0.503    37.700   0.250   0.070  21.600   0.000   0.000   0.130   3.062
  10  33 Ne 1    46.130     0.600    46.870   0.310   0.110  26.650   0.000   0.000   0.250   3.072
  10  34 Ne 1    52.842     0.513    53.730   0.310   0.060  15.310   0.000   0.000   0.150   3.094
  10  35 Ne 0                        62.960   0.180   0.179  54.590   0.000   0.000   0.070   3.096
  10  36 Ne 0                        70.670   0.310   0.067  17.000   0.000   0.000   0.070   3.114
  10  37 Ne 0                        79.870   0.210   0.177  50.010   0.000   0.000   0.270   3.132
  10  38 Ne 0                        87.790   0.310   0.040  10.340   0.000   0.000   0.500   3.143
  10  39 Ne 0                        96.890   0.240   0.000   0.000   0.000   0.000   0.500   3.164
  10  40 Ne 0                       104.940   0.255   0.000   0.000   0.000   0.000   0.500   3.187
  10  41 Ne 0                       115.570   0.340   0.111  24.780   0.000   0.000   0.500   3.204
  10  42 Ne 0                       122.460   0.200   0.000   0.000   0.000   0.000   0.500   3.238
  11  17 Na 2    34.720     0.060
  11  18 Na 2    25.038     0.094
  11  19 Na 2    12.929     0.011    12.250   0.239   0.060  19.550   0.000   0.000   0.110   3.078
  11  20 Na 2     6.850     0.001     7.060   0.303   0.036   9.540   0.000   0.000   0.130   3.050
  11  21 Na 2    -2.185     0.000    -2.830   0.480   0.000   0.000   0.000   0.000   0.240   3.058
  11  22 Na 2    -5.181     0.000    -7.960   0.571   0.000   0.000   0.000   0.000   0.320   3.079
  11  23 Na 2    -9.530     0.000   -10.000   0.455   0.043   7.610   0.000   0.000   0.180   3.046
  11  24 Na 2    -8.418     0.000    -7.730   0.300   0.100  25.240   0.000   0.000   0.100   3.016
  11  25 Na 2    -9.358     0.001   -10.430   0.340   0.080  18.410   0.000   0.000   0.120   3.036
  11  26 Na 2    -6.861     0.004    -7.100   0.260   0.080  23.520   0.000   0.000   0.070   3.022
  11  27 Na 2    -5.518     0.004    -6.390   0.210   0.080  28.310   0.000   0.000   0.050   3.027
  11  28 Na 2    -0.988     0.010    -0.700   0.198   0.077  28.810   0.000   0.000   0.030   3.039
  11  29 Na 2     2.680     0.007     1.540   0.250   0.070  21.600   0.000   0.000   0.070   3.063
  11  30 Na 2     8.475     0.005     8.780   0.400   0.060  11.980   0.000   0.000   0.200   3.107
  11  31 Na 2    12.246     0.014    12.060   0.400   0.050  10.020   0.000   0.000   0.200   3.121
  11  32 Na 2    18.640     0.037    19.230   0.530   0.010   1.530   0.000   0.000   0.320   3.168
  11  33 Na 2    23.780     0.450    24.330   0.400   0.030   6.050   0.000   0.000   0.190   3.147
  11  34 Na 2    31.680     0.599    32.220   0.480   0.000   0.000   0.000   0.000   0.270   3.182
  11  35 Na 1    37.831     0.670    38.240   0.430   0.057  10.620   0.000   0.000   0.200   3.186
  11  36 Na 1    45.903     0.687    47.140   0.480   0.010   1.690   0.000   0.000   0.120   3.189
  11  37 Na 1    53.134     0.687    53.650   0.390   0.060  12.270   0.000   0.000   0.130   3.197
  11  38 Na 1    61.905     0.715    62.650   0.340   0.130  28.400   0.000   0.000   0.020   3.209
  11  39 Na 1    69.977     0.743    70.350   0.360   0.070  15.380   0.000   0.000   0.050   3.209
  11  40 Na 0                        79.550   0.470   0.220  33.500   0.000   0.000   0.500   3.233
  11  41 Na 0                        87.100   0.332   0.010   2.440   0.000   0.000   0.500   3.235
  11  42 Na 0                        96.310   0.300   0.000   0.000   0.000   0.000   0.500   3.258
  11  43 Na 0                       104.210   0.300   0.000   0.000   0.000   0.000   0.500   3.279
  11  44 Na 0                       113.250   0.350   0.060  13.630   0.000   0.000   0.500   3.304
  12  19 Mg 2    31.838     0.060
  12  20 Mg 2    17.478     0.002    15.830   0.220   0.080  27.210   0.000   0.000   0.350   3.196
  12  21 Mg 2    10.904     0.001     9.290   0.291   0.061  16.510   0.000   0.000   0.120   3.110
  12  22 Mg 2    -0.400     0.000    -1.100   0.300   0.080  20.660   0.000   0.000   0.110   3.097
  12  23 Mg 2    -5.474     0.000    -5.950   0.465   0.037   6.420   0.000   0.000   0.180   3.114
  12  24 Mg 2   -13.934     0.000   -13.550   0.375   0.075  15.790   0.000   0.000   0.130   3.095
  12  25 Mg 2   -13.193     0.000   -13.370   0.368   0.085  18.090   0.000   0.000   0.130   3.093
  12  26 Mg 2   -16.215     0.000   -16.570   0.270   0.090  25.240   0.000   0.000   0.080   3.075
  12  27 Mg 2   -14.587     0.000   -14.950   0.244   0.084  25.960   0.000   0.000   0.060   3.074
  12  28 Mg 2   -15.020     0.000   -15.380   0.240   0.090  27.940   0.000   0.000   0.060   3.091
  12  29 Mg 2   -10.612     0.000   -11.130   0.211   0.079  27.900   0.000   0.000   0.030   3.096
  12  30 Mg 2    -8.881     0.001    -9.870   0.220   0.080  27.210   0.000   0.000   0.050   3.112
  12  31 Mg 2    -3.122     0.003    -3.770   0.181   0.059  24.750   0.000   0.000   0.050   3.118
  12  32 Mg 2    -0.829     0.003    -1.370   0.230   0.070  23.290   0.000   0.000   0.070   3.138
  12  33 Mg 2     4.963     0.003     5.680   0.370   0.060  12.920   0.000   0.000   0.160   3.178
  12  34 Mg 2     8.323     0.007     9.120   0.325   0.055  13.460   0.000   0.000   0.140   3.181
  12  35 Mg 2    15.640     0.270    16.510   0.400   0.000   0.000   0.000   0.000   0.190   3.214
  12  36 Mg 2    20.380     0.690    21.130   0.350   0.057  12.970   0.000   0.000   0.140   3.213
  12  37 Mg 2    28.211     0.699    29.300   0.420   0.069  13.080   0.000   0.000   0.200   3.250
  12  38 Mg 1    34.074     0.503    34.780   0.360   0.057  12.620   0.000   0.000   0.110   3.239
  12  39 Mg 1    42.775     0.513    43.180   0.360   0.067  14.750   0.000   0.000   0.090   3.245
  12  40 Mg 1    49.550     0.500    50.040   0.340   0.070  16.230   0.000   0.000   0.080   3.255
  12  41 Mg 1    58.100     0.500    59.310   0.210   0.120  38.940   0.000   0.000   0.040   3.236
  12  42 Mg 0                        66.230   0.210   0.080  28.310   0.000   0.000   0.020   3.243
  12  43 Mg 0                        75.280   0.271  -0.002  -0.600   0.000   0.000   0.140   3.281
  12  44 Mg 0                        82.850   0.210   0.070  25.240   0.000   0.000   0.120   3.259
  12  45 Mg 0                        92.080   0.150   0.051  25.680   0.000   0.000   0.500   3.289
  12  46 Mg 0                        99.550   0.120   0.050  30.510   0.000   0.000   0.500   3.272
  12  47 Mg 0                       108.590   0.080   0.061  47.160   0.000   0.000   0.500   3.322
  13  21 Al 1    27.090     0.600    25.680   0.220   0.073  25.140   0.000   0.000   0.500   5.796
  13  22 Al 1    18.201     0.401    17.640   0.279   0.055  15.580   0.000   0.000   0.100   3.163
  13  23 Al 2     6.748     0.000     6.160   0.235   0.075  24.290   0.000   0.000   0.060   3.134
  13  24 Al 2    -0.049     0.000     0.660   0.461   0.002   0.350   0.000   0.000   0.160   3.188
  13  25 Al 2    -8.916     0.000    -8.970   0.397   0.084  16.660   0.000   0.000   0.140   3.153
  13  26 Al 2   -12.210     0.000   -14.080   0.349   0.092  20.450   0.000   0.000   0.120   3.130
  13  27 Al 2   -17.197     0.000   -17.460   0.294   0.088  22.940   0.000   0.000   0.090   3.124
  13  28 Al 2   -16.851     0.000   -16.570   0.264   0.088  25.240   0.000   0.000   0.060   3.122
  13  29 Al 2   -18.208     0.000   -18.220   0.260   0.090  26.080   0.000   0.000   0.060   3.137
  13  30 Al 2   -15.864     0.002   -15.140   0.260   0.069  20.570   0.000   0.000   0.040   3.145
  13  31 Al 2   -14.951     0.002   -15.300   0.260   0.080  23.520   0.000   0.000   0.060   3.160
  13  32 Al 2   -11.099     0.007   -10.250   0.310   0.080  20.050   0.000   0.000   0.120   3.182
  13  33 Al 2    -8.497     0.007    -9.200   0.252   0.079  23.910   0.000   0.000   0.080   3.183
  13  34 Al 2    -2.998     0.002    -3.250   0.293   0.070  18.670   0.000   0.000   0.110   3.202
  13  35 Al 2    -0.224     0.007    -0.840   0.270   0.070  20.140   0.000   0.000   0.100   3.209
  13  36 Al 2     5.950     0.150     5.840   0.310   0.070  17.710   0.000   0.000   0.110   3.230
  13  37 Al 2     9.810     0.180     9.270   0.300   0.060  15.790   0.000   0.000   0.110   3.238
  13  38 Al 1    16.470     0.150    16.180   0.370   0.070  14.980   0.000   0.000   0.170   3.275
  13  39 Al 1    21.490     0.300    21.060   0.320   0.060  14.850   0.000   0.000   0.100   3.266
  13  40 Al 1    28.820     0.300    28.690   0.340   0.070  16.230   0.000   0.000   0.090   3.282
  13  41 Al 1    34.590     0.400    34.580   0.270   0.120  32.150   0.000   0.000   0.110   3.289
  13  42 Al 1    41.990     0.500    42.650   0.270   0.120  32.150   0.000   0.000   0.080   3.296
  13  43 Al 1    48.270     0.600    49.480   0.222   0.123  38.080   0.000   0.000   0.060   3.296
  13  44 Al 0                        58.370   0.237   0.080  25.520   0.000   0.000   0.040   3.299
  13  45 Al 0                        65.280   0.207   0.070  25.560   0.000   0.000   0.010   3.300
  13  46 Al 0                        74.780   0.150   0.060  29.500   0.000   0.000   0.230   3.339
  13  47 Al 0                        81.850   0.130   0.050  28.540   0.000   0.000   0.500   3.307
  13  48 Al 0                        90.850   0.140   0.050  26.800   0.000   0.000   0.500   3.358
  13  49 Al 0                        98.350   0.040   0.000   0.000   0.000   0.000   0.500   3.346
  13  50 Al 0                       107.450   0.030   0.000   0.000   0.000   0.000   0.500   3.375
  14  22 Si 1    33.640     0.500    32.200   0.230   0.070  23.290   0.000   0.000   0.500   3.500
  14  23 Si 1    23.950     0.500    22.370   0.271   0.074  21.120   0.000   0.000   0.110   3.251
  14  24 Si 2    10.745     0.019     9.360   0.260   0.080  23.520   0.000   0.000   0.080   3.230
  14  25 Si 2     3.827     0.010     2.540   0.388   0.062  12.730   0.000   0.000   0.130   3.229
  14  26 Si 2    -7.141     0.000    -7.480   0.270   0.090  25.240   0.000   0.000   0.080   3.187
  14  27 Si 2   -12.385     0.000   -12.860   0.295   0.089  23.110   0.000   0.000   0.090   3.184
  14  28 Si 2   -21.493     0.000   -20.990   0.250   0.120  34.170   0.000   0.000   0.090   3.182
  14  29 Si 2   -21.895     0.000   -21.410   0.235   0.089  28.170   0.000   0.000   0.060   3.175
  14  30 Si 2   -24.433     0.000   -23.770   0.220   0.090  30.050   0.000   0.000   0.050   3.184
  14  31 Si 2   -22.949     0.000   -21.890   0.223   0.083  27.760   0.000   0.000   0.040   3.196
  14  32 Si 2   -24.078     0.000   -23.070   0.220   0.080  27.210   0.000   0.000   0.050   3.205
  14  33 Si 2   -20.514     0.001   -19.250   0.181   0.059  24.750   0.000   0.000   0.040   3.206
  14  34 Si 2   -19.992     0.001   -19.190   0.240   0.080  25.240   0.000   0.000   0.080   3.232
  14  35 Si 2   -14.391     0.036   -14.170   0.235   0.085  27.090   0.000   0.000   0.090   3.243
  14  36 Si 2   -12.436     0.072   -12.950   0.240   0.080  25.240   0.000   0.000   0.090   3.254
  14  37 Si 2    -6.572     0.114    -7.140   0.291   0.070  18.790   0.000   0.000   0.120   3.278
  14  38 Si 2    -4.170     0.105    -4.790   0.250   0.080  24.350   0.000   0.000   0.090   3.278
  14  39 Si 2     2.320     0.136     1.760   0.295   0.070  18.550   0.000   0.000   0.110   3.300
  14  40 Si 2     5.667     0.122     5.220   0.245   0.075  23.410   0.000   0.000   0.080   3.296
  14  41 Si 1    13.200     0.300    12.340   0.322   0.073  17.780   0.000   0.000   0.090   3.329
  14  42 Si 1    16.840     0.300    16.890   0.230   0.110  34.070   0.000   0.000   0.080   3.321
  14  43 Si 1    24.330     0.400    24.470   0.150   0.180  59.490   0.000   0.000   0.110   3.337
  14  44 Si 1    29.310     0.500    30.280   0.202   0.133  42.960   0.000   0.000   0.070   3.340
  14  45 Si 1    37.090     0.600    38.870   0.213   0.109  35.890   0.000   0.000   0.030   3.341
  14  46 Si 0                        45.270   0.185   0.080  31.450   0.000   0.000   0.030   3.341
  14  47 Si 0                        53.520   0.135   0.078  39.250   0.000   0.000   0.020   3.346
  14  48 Si 0                        61.210   0.084   0.059  44.810   0.000   0.000   0.030   3.340
  14  49 Si 0                        70.230   0.171   0.161  53.090   0.000   0.000   0.500   3.361
  14  50 Si 0                        77.270   0.010   0.000   0.000   0.000   0.000   0.500   3.374
  14  52 Si 0                        94.450   0.017   0.001   4.760   0.000   0.000   0.500   3.421
  14  53 Si 0                       103.570   0.000   0.000   0.000   0.000   0.000   0.500   3.446
  14  54 Si 0                       111.690   0.010   0.000   0.000   0.000   0.000   0.500   3.465
  14  55 Si 0                       120.970   0.010   0.010  54.740   0.000   0.000   0.500   3.488
  15  23 P  0                        42.190   0.190   0.060  24.070   0.000   0.000   0.500   5.614
  15  24 P  1    34.020     0.500    32.110   0.252   0.069  21.170   0.000   0.000   0.500   5.585
  15  25 P  1    20.190     0.400    18.160   0.221   0.080  27.110   0.000   0.000   0.060   3.280
  15  26 P  1    10.973     0.196    10.650   0.262   0.077  22.570   0.000   0.000   0.070   3.253
  15  27 P  2    -0.659     0.009    -1.080   0.243   0.089  27.380   0.000   0.000   0.060   3.237
  15  28 P  2    -7.148     0.001    -7.070   0.272   0.088  24.590   0.000   0.000   0.070   3.229
  15  29 P  2   -16.953     0.000   -16.410   0.230   0.079  25.910   0.000   0.000   0.050   3.217
  15  30 P  2   -20.201     0.000   -20.860   0.115   0.126  57.160   0.000   0.000   0.040   3.206
  15  31 P  2   -24.441     0.000   -24.260   0.190   0.080  30.770   0.000   0.000   0.030   3.220
  15  32 P  2   -24.305     0.000   -22.980   0.091   0.100  57.240   0.000   0.000   0.010   3.215
  15  33 P  2   -26.337     0.001   -25.220   0.185   0.075  29.830   0.000   0.000   0.030   3.238
  15  34 P  2   -24.549     0.001   -22.480   0.181   0.068  27.980   0.000   0.000   0.040   3.249
  15  35 P  2   -24.858     0.002   -23.660   0.195   0.065  25.240   0.000   0.000   0.040   3.260
  15  36 P  2   -20.251     0.013   -19.560   0.206   0.064  23.720   0.000   0.000   0.060   3.273
  15  37 P  2   -18.996     0.038   -19.510   0.211   0.069  24.820   0.000   0.000   0.060   3.284
  15  38 P  2   -14.622     0.073   -14.550   0.260   0.060  18.070   0.000   0.000   0.090   3.304
  15  39 P  2   -12.775     0.113   -13.380   0.230   0.070  23.290   0.000   0.000   0.070   3.308
  15  40 P  2    -8.139     0.084    -7.640   0.280   0.060  16.860   0.000   0.000   0.090   3.327
  15  41 P  2    -4.980     0.120    -5.420   0.260   0.070  20.840   0.000   0.000   0.070   3.335
  15  42 P  2     1.092     0.095     1.030   0.260   0.080  23.520   0.000   0.000   0.060   3.347
  15  43 P  1     5.040     0.300     4.560   0.240   0.110  32.950   0.000   0.000   0.080   3.363
  15  44 P  1    11.110     0.400    11.600   0.230   0.080  26.190   0.000   0.000   0.050   3.358
  15  45 P  1    15.960     0.500    16.460   0.220   0.120  37.650   0.000   0.000   0.060   3.382
  15  46 P  1    22.840     0.500    24.390   0.200   0.100  35.260   0.000   0.000   0.020   3.376
  15  47 P  1    28.810     0.600    30.150   0.190   0.070  27.520   0.000   0.000   0.010   3.379
  15  48 P  0                        38.250   0.164   0.071  31.480   0.000   0.000   0.010   3.385
  15  49 P  0                        45.190   0.137   0.060  31.770   0.000   0.000   0.010   3.390
  15  50 P  0                        54.290   0.093   0.040  31.310   0.000   0.000   0.500   3.412
  15  51 P  0                        61.870   0.148   0.059  29.410   0.000   0.000   0.270   3.414
  15  52 P  0                        70.840   0.152   0.050  24.950   0.000   0.000   0.500   3.456
  15  53 P  0                        78.340   0.065   0.003   3.730   0.000   0.000   0.500   3.440
  15  54 P  0                        87.430   0.040   0.000   0.000   0.000   0.000   0.500   3.463
  15  55 P  0                        95.580   0.070   0.000   0.000   0.000   0.000   0.500   3.481
  15  56 P  0                       104.750   0.090   0.000   0.000   0.000   0.000   0.500   3.503
  15  57 P  0                       112.870   0.070   0.000   0.000   0.000   0.000   0.500   3.520
  16  24 S  0                        50.190   0.041   0.049  59.390   0.000   0.000   0.500   4.788
  16  25 S  0                        40.140   0.196   0.078  29.370   0.000   0.000   0.500   3.741
  16  26 S  1    27.680     0.600    25.130   0.210   0.080  28.310   0.000   0.000   0.500   3.543
  16  27 S  1    17.491     0.400    16.380   0.268   0.083  23.650   0.000   0.000   0.070   3.344
  16  28 S  2     4.073     0.160     3.580   0.235   0.085  27.090   0.000   0.000   0.070   3.356
  16  29 S  2    -3.094     0.013    -3.530   0.249   0.087  26.300   0.000   0.000   0.050   3.299
  16  30 S  2   -14.059     0.000   -13.630   0.230   0.100  31.590   0.000   0.000   0.050   3.299
  16  31 S  2   -19.043     0.000   -19.090   0.189   0.079  30.590   0.000   0.000   0.030   3.278
  16  32 S  2   -26.016     0.000   -25.850   0.180   0.080  32.150   0.000   0.000   0.020   3.286
  16  33 S  2   -26.586     0.000   -26.280   0.189   0.078  30.270   0.000   0.000   0.010   3.294
  16  34 S  2   -29.932     0.000   -29.070   0.180   0.070  28.810   0.000   0.000   0.020   3.299
  16  35 S  2   -28.846     0.000   -27.510   0.135   0.064  33.840   0.000   0.000   0.020   3.303
  16  36 S  2   -30.664     0.000   -29.520   0.160   0.060  27.940   0.000   0.000   0.030   3.312
  16  37 S  2   -26.896     0.000   -26.630   0.171   0.065  28.260   0.000   0.000   0.040   3.325
  16  38 S  2   -26.861     0.007   -27.510   0.175   0.065  27.710   0.000   0.000   0.040   3.333
  16  39 S  2   -23.163     0.050   -23.570   0.205   0.065  24.150   0.000   0.000   0.060   3.347
  16  40 S  2   -22.838     0.004   -23.390   0.215   0.075  26.260   0.000   0.000   0.060   3.360
  16  41 S  2   -19.009     0.004   -18.770   0.260   0.060  18.070   0.000   0.000   0.070   3.374
  16  42 S  2   -17.638     0.003   -17.310   0.240   0.070  22.420   0.000   0.000   0.060   3.381
  16  43 S  2   -12.195     0.005   -11.740   0.220   0.070  24.230   0.000   0.000   0.050   3.384
  16  44 S  2    -9.204     0.005    -9.140   0.210   0.090  31.220   0.000   0.000   0.050   3.398
  16  45 S  1    -3.340     0.300    -2.900   0.200   0.070  26.330   0.000   0.000   0.030   3.398
  16  46 S  1     0.640     0.400     1.200   0.180   0.090  35.260   0.000   0.000   0.030   3.410
  16  47 S  1     7.200     0.400     8.350   0.170   0.090  36.820   0.000   0.000   0.010   3.415
  16  48 S  1    12.390     0.500    13.520   0.160   0.070  31.750   0.000   0.000   0.010   3.423
