                    *********************************************************************************
                    *  Z= 82 A=205: Positive-Parity Spin-dependent Level Density [MeV-1] for PB205  *
   2.25  0.347  6.00E+00 3.16E+01 2.01E+02 1.33E+01 3.33E+00 3.15E+00 0.00E+00 5.17E+00 1.67E+00 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.366  1.70E+01 5.83E+01 4.54E+02 2.17E+01 6.67E+00 3.15E+00 1.67E+00 5.17E+00 5.00E+00 6.67E+00 3.33E+00 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.384  4.50E+01 1.62E+02 1.56E+03 3.67E+01 1.17E+01 1.35E+01 5.00E+00 1.33E+01 2.67E+01 2.50E+01 1.67E+01 8.33E+00 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.401  8.80E+01 1.84E+02 2.11E+03 2.54E+01 1.25E+01 1.40E+01 7.33E+00 1.33E+01 2.67E+01 2.83E+01 2.33E+01 1.83E+01 8.33E+00 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.418  1.45E+02 2.70E+02 3.35E+03 1.52E+01 2.06E+01 1.70E+01 2.23E+01 2.83E+01 3.17E+01 3.83E+01 3.67E+01 3.00E+01 1.83E+01 1.00E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.433  2.10E+02 2.52E+02 2.87E+03 2.11E+01 2.09E+01 2.17E+01 2.33E+01 2.83E+01 2.83E+01 3.33E+01 3.00E+01 2.67E+01 1.33E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.449  2.52E+02 8.53E+01 6.31E+02 1.67E+01 8.61E+00 1.84E+01 1.33E+01 8.33E+00 1.17E+01 6.67E+00 0.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.463  2.94E+02 2.45E+02 2.50E+03 2.51E+01 4.19E+01 2.67E+01 2.33E+01 2.33E+01 3.32E+01 2.00E+01 1.50E+01 1.17E+01 8.33E+00 6.67E+00 3.33E+00 3.33E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.478  4.35E+02 8.87E+02 9.79E+03 5.35E+01 9.67E+01 1.08E+02 1.00E+02 1.03E+02 1.10E+02 1.05E+02 8.17E+01 5.00E+01 3.00E+01 1.83E+01 1.00E+01 6.67E+00 5.00E+00 5.00E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.491  7.52E+02 1.64E+03 1.92E+04 1.07E+02 1.43E+02 1.57E+02 1.50E+02 1.87E+02 2.20E+02 2.07E+02 1.77E+02 1.37E+02 7.83E+01 4.33E+01 1.50E+01 1.00E+01 5.00E+00 5.00E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.505  1.46E+03 3.99E+03 4.96E+04 2.05E+02 2.49E+02 2.25E+02 3.68E+02 5.03E+02 5.47E+02 5.65E+02 5.08E+02 3.77E+02 2.42E+02 1.28E+02 5.00E+01 1.83E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.518  2.66E+03 5.68E+03 7.28E+04 2.32E+02 3.29E+02 2.90E+02 5.22E+02 7.35E+02 7.87E+02 7.75E+02 7.03E+02 5.83E+02 3.73E+02 2.08E+02 8.83E+01 3.67E+01 1.33E+01 6.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.543  6.53E+03 9.79E+03 1.30E+05 4.43E+02 5.42E+02 6.80E+02 8.65E+02 1.03E+03 1.14E+03 1.21E+03 1.16E+03 9.83E+02 7.20E+02 4.77E+02 2.78E+02 1.58E+02 6.83E+01 2.67E+01 6.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.567  1.30E+04 1.59E+04 2.25E+05 4.93E+02 7.05E+02 1.12E+03 1.53E+03 1.77E+03 1.85E+03 1.78E+03 1.62E+03 1.47E+03 1.15E+03 8.35E+02 5.62E+02 3.90E+02 2.55E+02 1.68E+02 9.00E+01 5.17E+01 3.33E+01 2.00E+01 1.00E+01 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.591  3.05E+04 5.41E+04 8.21E+05 1.18E+03 2.55E+03 3.90E+03 4.81E+03 5.48E+03 5.82E+03 5.71E+03 5.19E+03 4.47E+03 3.60E+03 2.94E+03 2.26E+03 1.75E+03 1.36E+03 1.04E+03 7.73E+02 5.37E+02 3.47E+02 2.07E+02 1.15E+02 6.00E+01 3.00E+01 1.50E+01 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.613  7.51E+04 1.24E+05 1.76E+06 2.74E+03 5.38E+03 8.44E+03 1.14E+04 1.39E+04 1.51E+04 1.51E+04 1.38E+04 1.18E+04 9.08E+03 6.49E+03 4.27E+03 2.70E+03 1.62E+03 1.03E+03 6.12E+02 3.80E+02 2.18E+02 1.27E+02 5.83E+01 3.00E+01 1.00E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.634  1.68E+05 2.46E+05 3.54E+06 5.04E+03 1.13E+04 1.64E+04 2.16E+04 2.58E+04 2.83E+04 2.87E+04 2.70E+04 2.36E+04 1.91E+04 1.44E+04 9.81E+03 6.23E+03 3.69E+03 2.14E+03 1.15E+03 6.60E+02 3.48E+02 1.93E+02 1.05E+02 6.33E+01 3.50E+01 2.17E+01 1.00E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.655  3.68E+05 5.58E+05 8.74E+06 1.32E+04 2.49E+04 3.51E+04 4.46E+04 5.14E+04 5.50E+04 5.57E+04 5.35E+04 4.89E+04 4.27E+04 3.55E+04 2.81E+04 2.16E+04 1.58E+04 1.12E+04 7.64E+03 5.06E+03 3.22E+03 1.99E+03 1.17E+03 6.63E+02 3.53E+02 1.73E+02 7.67E+01 3.17E+01 6.67E+00 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.675  8.81E+05 1.49E+06 2.50E+07 3.00E+04 5.96E+04 8.76E+04 1.10E+05 1.28E+05 1.38E+05 1.41E+05 1.36E+05 1.25E+05 1.11E+05 9.65E+04 8.06E+04 6.54E+04 5.17E+04 4.02E+04 3.03E+04 2.21E+04 1.53E+04 1.03E+04 6.54E+03 4.02E+03 2.32E+03 1.27E+03 6.42E+02 3.12E+02 1.37E+02 6.00E+01 2.17E+01 1.00E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.695  2.01E+06 3.04E+06 5.03E+07 6.15E+04 1.21E+05 1.77E+05 2.28E+05 2.66E+05 2.89E+05 2.95E+05 2.85E+05 2.62E+05 2.29E+05 1.91E+05 1.55E+05 1.24E+05 9.64E+04 7.43E+04 5.63E+04 4.21E+04 3.06E+04 2.16E+04 1.44E+04 9.06E+03 5.30E+03 2.91E+03 1.47E+03 6.90E+02 2.78E+02 1.00E+02 2.67E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.714  4.11E+06 5.36E+06 8.56E+07 1.15E+05 2.26E+05 3.32E+05 4.20E+05 4.86E+05 5.26E+05 5.36E+05 5.16E+05 4.73E+05 4.11E+05 3.42E+05 2.71E+05 2.07E+05 1.53E+05 1.10E+05 7.76E+04 5.41E+04 3.70E+04 2.49E+04 1.64E+04 1.06E+04 6.70E+03 4.11E+03 2.40E+03 1.35E+03 7.18E+02 3.82E+02 1.98E+02 2.27E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.733  8.83E+06 1.35E+07 2.32E+08 2.70E+05 5.26E+05 7.53E+05 9.46E+05 1.09E+06 1.19E+06 1.22E+06 1.20E+06 1.13E+06 1.03E+06 8.96E+05 7.58E+05 6.21E+05 4.94E+05 3.83E+05 2.89E+05 2.13E+05 1.54E+05 1.09E+05 7.51E+04 5.08E+04 3.35E+04 2.17E+04 1.37E+04 8.48E+03 5.02E+03 2.87E+03 1.54E+03 1.38E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.768  4.90E+07 6.68E+07 1.21E+09 1.22E+06 2.38E+06 3.43E+06 4.33E+06 5.03E+06 5.49E+06 5.70E+06 5.67E+06 5.42E+06 5.02E+06 4.50E+06 3.92E+06 3.34E+06 2.77E+06 2.24E+06 1.77E+06 1.37E+06 1.03E+06 7.49E+05 5.26E+05 3.56E+05 2.31E+05 1.44E+05 8.55E+04 4.84E+04 2.60E+04 1.32E+04 6.38E+03 4.80E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.802  2.23E+08 2.81E+08 5.31E+09 4.81E+06 9.40E+06 1.36E+07 1.71E+07 1.99E+07 2.18E+07 2.27E+07 2.28E+07 2.21E+07 2.07E+07 1.89E+07 1.68E+07 1.45E+07 1.23E+07 1.01E+07 8.19E+06 6.50E+06 5.05E+06 3.85E+06 2.88E+06 2.11E+06 1.52E+06 1.07E+06 7.45E+05 5.06E+05 3.36E+05 2.18E+05 1.39E+05 2.00E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.835  1.01E+09 1.28E+09 2.48E+10 2.09E+07 4.08E+07 5.89E+07 7.45E+07 8.69E+07 9.56E+07 1.01E+08 1.02E+08 9.98E+07 9.48E+07 8.77E+07 7.90E+07 6.94E+07 5.96E+07 5.00E+07 4.10E+07 3.28E+07 2.56E+07 1.95E+07 1.45E+07 1.04E+07 7.27E+06 4.92E+06 3.23E+06 2.06E+06 1.27E+06 7.58E+05 4.47E+05 5.58E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.867  4.46E+09 5.63E+09 1.15E+11 8.28E+07 1.62E+08 2.35E+08 2.98E+08 3.49E+08 3.87E+08 4.10E+08 4.20E+08 4.16E+08 4.01E+08 3.77E+08 3.47E+08 3.11E+08 2.74E+08 2.36E+08 2.00E+08 1.66E+08 1.35E+08 1.08E+08 8.47E+07 6.53E+07 4.93E+07 3.65E+07 2.66E+07 1.89E+07 1.31E+07 8.92E+06 6.05E+06 9.57E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.897  1.39E+10 1.32E+10 2.72E+11 1.89E+08 3.70E+08 5.36E+08 6.81E+08 7.99E+08 8.88E+08 9.44E+08 9.70E+08 9.66E+08 9.36E+08 8.84E+08 8.16E+08 7.37E+08 6.52E+08 5.64E+08 4.79E+08 3.99E+08 3.25E+08 2.60E+08 2.04E+08 1.57E+08 1.18E+08 8.76E+07 6.37E+07 4.54E+07 3.17E+07 2.18E+07 1.50E+07 2.52E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
