                    *********************************************************************************
                    *  Z= 81 A=204: Positive-Parity Spin-dependent Level Density [MeV-1] for TL204  *
   2.25  0.348  8.40E+01 2.13E+02 1.25E+03 2.50E+01 3.83E+01 4.83E+01 5.00E+01 3.17E+01 1.50E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.367  1.54E+02 3.42E+02 2.12E+03 3.83E+01 6.17E+01 6.83E+01 7.17E+01 5.33E+01 3.50E+01 1.00E+01 0.00E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.385  2.72E+02 6.03E+02 4.70E+03 4.83E+01 9.00E+01 9.83E+01 1.03E+02 9.00E+01 7.17E+01 4.50E+01 2.33E+01 1.83E+01 5.00E+00 6.67E+00 1.67E+00 0.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.402  4.45E+02 7.85E+02 7.08E+03 5.17E+01 9.50E+01 1.10E+02 1.22E+02 1.10E+02 8.83E+01 6.83E+01 5.00E+01 3.67E+01 2.00E+01 2.00E+01 8.33E+00 1.67E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.419  7.08E+02 1.32E+03 1.50E+04 5.17E+01 1.13E+02 1.45E+02 1.60E+02 1.60E+02 1.35E+02 1.27E+02 1.03E+02 8.67E+01 7.00E+01 6.33E+01 4.83E+01 3.00E+01 1.67E+01 6.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.434  1.14E+03 2.12E+03 2.77E+04 6.50E+01 1.40E+02 1.87E+02 2.13E+02 2.22E+02 2.08E+02 1.95E+02 1.77E+02 1.53E+02 1.45E+02 1.25E+02 1.08E+02 8.17E+01 5.50E+01 2.67E+01 1.33E+01 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.450  1.91E+03 4.05E+03 5.57E+04 9.50E+01 2.40E+02 3.28E+02 3.92E+02 4.07E+02 3.87E+02 3.57E+02 3.23E+02 3.12E+02 2.93E+02 2.67E+02 2.32E+02 1.87E+02 1.25E+02 6.83E+01 3.00E+01 1.00E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.464  2.93E+03 4.09E+03 5.31E+04 1.08E+02 2.73E+02 3.90E+02 4.43E+02 4.60E+02 4.18E+02 3.63E+02 3.07E+02 2.75E+02 2.50E+02 2.27E+02 1.98E+02 1.62E+02 1.10E+02 6.50E+01 3.00E+01 1.17E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.479  4.07E+03 5.03E+03 5.47E+04 1.78E+02 4.35E+02 6.32E+02 7.05E+02 6.90E+02 5.80E+02 4.63E+02 3.42E+02 2.60E+02 2.03E+02 1.62E+02 1.33E+02 1.05E+02 6.67E+01 4.50E+01 1.83E+01 8.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.493  5.55E+03 6.82E+03 6.82E+04 2.57E+02 6.38E+02 9.33E+02 1.04E+03 1.02E+03 8.50E+02 6.50E+02 4.55E+02 3.08E+02 2.22E+02 1.50E+02 1.10E+02 8.00E+01 5.33E+01 3.17E+01 1.67E+01 6.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.506  8.06E+03 1.32E+04 1.41E+05 4.27E+02 1.10E+03 1.61E+03 1.85E+03 1.86E+03 1.63E+03 1.34E+03 1.03E+03 7.60E+02 5.60E+02 3.95E+02 2.63E+02 1.88E+02 1.15E+02 6.67E+01 3.33E+01 1.33E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.519  1.22E+04 1.96E+04 2.28E+05 5.15E+02 1.38E+03 2.08E+03 2.46E+03 2.54E+03 2.34E+03 2.04E+03 1.68E+03 1.34E+03 1.02E+03 7.60E+02 5.38E+02 3.70E+02 2.47E+02 1.48E+02 9.17E+01 3.50E+01 1.67E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.545  3.29E+04 6.34E+04 9.03E+05 1.10E+03 3.06E+03 4.65E+03 5.75E+03 6.32E+03 6.41E+03 6.18E+03 5.69E+03 5.14E+03 4.55E+03 3.91E+03 3.26E+03 2.57E+03 1.92E+03 1.32E+03 8.12E+02 4.47E+02 2.08E+02 6.83E+01 1.67E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.569  8.93E+04 1.62E+05 2.46E+06 2.39E+03 6.84E+03 1.05E+04 1.31E+04 1.46E+04 1.51E+04 1.49E+04 1.42E+04 1.33E+04 1.23E+04 1.10E+04 9.55E+03 7.88E+03 6.10E+03 4.37E+03 2.85E+03 1.67E+03 8.47E+02 3.73E+02 1.22E+02 2.50E+01 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.592  1.88E+05 2.34E+05 3.42E+06 3.88E+03 1.11E+04 1.70E+04 2.10E+04 2.30E+04 2.33E+04 2.22E+04 2.05E+04 1.84E+04 1.63E+04 1.41E+04 1.19E+04 9.74E+03 7.59E+03 5.55E+03 3.76E+03 2.38E+03 1.35E+03 7.18E+02 3.42E+02 1.57E+02 6.50E+01 3.17E+01 1.50E+01 1.67E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.614  3.68E+05 4.83E+05 7.17E+06 7.65E+03 2.21E+04 3.42E+04 4.27E+04 4.74E+04 4.84E+04 4.67E+04 4.30E+04 3.82E+04 3.31E+04 2.79E+04 2.30E+04 1.85E+04 1.44E+04 1.09E+04 7.97E+03 5.60E+03 3.81E+03 2.52E+03 1.65E+03 1.09E+03 7.13E+02 4.90E+02 3.18E+02 1.88E+02 1.18E+02 6.17E+01 2.83E+01 1.17E+01 6.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.636  8.23E+05 1.34E+06 2.11E+07 1.78E+04 5.16E+04 8.08E+04 1.03E+05 1.18E+05 1.25E+05 1.25E+05 1.20E+05 1.11E+05 1.00E+05 8.78E+04 7.46E+04 6.13E+04 4.86E+04 3.69E+04 2.67E+04 1.85E+04 1.22E+04 7.70E+03 4.71E+03 2.88E+03 1.77E+03 1.12E+03 7.12E+02 4.33E+02 2.52E+02 1.37E+02 5.67E+01 2.17E+01 8.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.657  2.03E+06 3.48E+06 5.64E+07 4.18E+04 1.22E+05 1.92E+05 2.47E+05 2.85E+05 3.07E+05 3.14E+05 3.09E+05 2.94E+05 2.72E+05 2.45E+05 2.13E+05 1.78E+05 1.43E+05 1.09E+05 7.87E+04 5.34E+04 3.38E+04 1.99E+04 1.07E+04 5.30E+03 2.37E+03 9.82E+02 3.90E+02 1.43E+02 5.00E+01 2.00E+01 1.00E+01 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.677  4.58E+06 6.74E+06 1.12E+08 7.76E+04 2.26E+05 3.57E+05 4.61E+05 5.35E+05 5.78E+05 5.94E+05 5.86E+05 5.61E+05 5.22E+05 4.72E+05 4.15E+05 3.52E+05 2.87E+05 2.25E+05 1.68E+05 1.19E+05 8.05E+04 5.15E+04 3.14E+04 1.83E+04 1.04E+04 5.78E+03 3.22E+03 1.82E+03 1.02E+03 5.55E+02 2.90E+02 1.28E+02 7.33E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.697  9.50E+06 1.29E+07 2.27E+08 1.39E+05 4.05E+05 6.42E+05 8.34E+05 9.73E+05 1.06E+06 1.09E+06 1.09E+06 1.04E+06 9.73E+05 8.84E+05 7.82E+05 6.74E+05 5.65E+05 4.60E+05 3.63E+05 2.79E+05 2.08E+05 1.52E+05 1.08E+05 7.60E+04 5.24E+04 3.56E+04 2.37E+04 1.53E+04 9.47E+03 5.56E+03 3.07E+03 1.56E+03 1.15E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.716  2.01E+07 2.94E+07 5.35E+08 2.91E+05 8.53E+05 1.36E+06 1.78E+06 2.10E+06 2.31E+06 2.41E+06 2.42E+06 2.34E+06 2.21E+06 2.02E+06 1.81E+06 1.58E+06 1.34E+06 1.11E+06 8.94E+05 7.03E+05 5.41E+05 4.08E+05 3.01E+05 2.19E+05 1.57E+05 1.10E+05 7.60E+04 5.08E+04 3.27E+04 2.01E+04 1.16E+04 6.23E+03 5.24E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.734  4.30E+07 6.21E+07 1.10E+09 6.21E+05 1.82E+06 2.91E+06 3.82E+06 4.51E+06 4.97E+06 5.21E+06 5.24E+06 5.10E+06 4.81E+06 4.40E+06 3.92E+06 3.38E+06 2.83E+06 2.30E+06 1.80E+06 1.36E+06 9.97E+05 7.05E+05 4.82E+05 3.21E+05 2.09E+05 1.34E+05 8.41E+04 5.22E+04 3.17E+04 1.86E+04 1.05E+04 5.54E+03 4.47E+03 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.770  2.15E+08 2.82E+08 5.35E+09 2.47E+06 7.27E+06 1.17E+07 1.54E+07 1.84E+07 2.06E+07 2.19E+07 2.24E+07 2.21E+07 2.12E+07 1.99E+07 1.81E+07 1.61E+07 1.39E+07 1.17E+07 9.61E+06 7.69E+06 6.01E+06 4.58E+06 3.42E+06 2.49E+06 1.79E+06 1.25E+06 8.62E+05 5.79E+05 3.79E+05 2.40E+05 1.46E+05 8.47E+04 8.96E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.804  9.53E+08 1.19E+09 2.35E+10 9.64E+06 2.84E+07 4.58E+07 6.10E+07 7.33E+07 8.26E+07 8.85E+07 9.13E+07 9.11E+07 8.83E+07 8.34E+07 7.68E+07 6.90E+07 6.06E+07 5.20E+07 4.36E+07 3.57E+07 2.86E+07 2.25E+07 1.73E+07 1.30E+07 9.63E+06 6.98E+06 4.96E+06 3.44E+06 2.33E+06 1.53E+06 9.71E+05 5.99E+05 7.24E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.837  4.05E+09 5.01E+09 1.01E+11 3.82E+07 1.13E+08 1.82E+08 2.43E+08 2.94E+08 3.33E+08 3.59E+08 3.73E+08 3.75E+08 3.66E+08 3.48E+08 3.23E+08 2.93E+08 2.60E+08 2.25E+08 1.91E+08 1.58E+08 1.29E+08 1.02E+08 7.98E+07 6.10E+07 4.58E+07 3.38E+07 2.45E+07 1.75E+07 1.22E+07 8.39E+06 5.63E+06 3.71E+06 5.92E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  0.869  1.76E+10 2.20E+10 4.67E+11 1.52E+08 4.50E+08 7.30E+08 9.80E+08 1.19E+09 1.36E+09 1.48E+09 1.55E+09 1.58E+09 1.56E+09 1.50E+09 1.42E+09 1.31E+09 1.18E+09 1.04E+09 9.07E+08 7.72E+08 6.45E+08 5.29E+08 4.26E+08 3.36E+08 2.61E+08 1.99E+08 1.48E+08 1.09E+08 7.76E+07 5.41E+07 3.69E+07 2.48E+07 3.77E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  0.899  5.15E+10 4.58E+10 9.84E+11 3.10E+08 9.17E+08 1.49E+09 2.00E+09 2.43E+09 2.78E+09 3.03E+09 3.18E+09 3.24E+09 3.21E+09 3.10E+09 2.93E+09 2.71E+09 2.45E+09 2.18E+09 1.90E+09 1.62E+09 1.36E+09 1.12E+09 9.12E+08 7.28E+08 5.72E+08 4.42E+08 3.37E+08 2.54E+08 1.88E+08 1.37E+08 9.82E+07 7.02E+07 1.37E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
