                    *********************************************************************************
                    *  Z= 62 A=145: Positive-Parity Spin-dependent Level Density [MeV-1] for SM145  *
   2.25  0.413  1.00E+01 1.90E+01 2.11E+02 1.71E+00 3.33E+00 1.80E+00 1.67E+00 1.70E+00 1.91E+00 9.13E-02 1.76E+00 1.67E+00 1.70E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.435  1.90E+01 5.34E+01 6.01E+02 3.58E+00 8.50E+00 7.32E+00 5.27E+00 5.00E+00 8.27E-01 3.70E+00 7.19E+00 3.54E+00 3.36E+00 3.46E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.457  3.90E+01 1.05E+02 1.16E+03 1.52E+01 1.39E+01 1.37E+01 7.57E+00 5.67E+00 4.39E+00 6.94E+00 9.40E+00 8.96E+00 7.28E+00 8.70E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.00  0.477  6.90E+01 1.41E+02 1.59E+03 2.35E+01 1.44E+01 1.53E+01 1.08E+01 8.48E+00 7.20E+00 1.50E+01 9.40E+00 8.75E+00 1.40E+01 9.27E+00 3.73E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.25  0.497  1.07E+02 1.63E+02 2.02E+03 2.00E+01 8.74E+00 1.57E+01 1.08E+01 1.53E+01 7.54E+00 2.17E+01 1.67E+01 1.67E+01 1.48E+01 8.16E+00 5.39E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.50  0.515  1.51E+02 1.83E+02 2.27E+03 1.73E+01 4.79E+00 1.20E+01 1.76E+01 2.75E+01 1.86E+01 2.34E+01 2.17E+01 1.46E+01 9.19E+00 9.83E+00 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   3.75  0.533  1.99E+02 2.07E+02 2.61E+03 8.07E+00 6.61E+00 1.46E+01 3.74E+01 2.91E+01 2.33E+01 1.92E+01 2.37E+01 1.11E+01 5.00E+00 1.83E+01 7.12E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.00  0.551  2.51E+02 2.09E+02 2.79E+03 3.07E+00 6.82E+00 1.54E+01 3.02E+01 4.07E+01 2.17E+01 1.35E+01 2.20E+01 8.94E+00 1.00E+01 1.98E+01 7.84E+00 7.02E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.25  0.568  3.16E+02 3.11E+02 4.01E+03 1.62E+01 2.64E+01 2.44E+01 3.83E+01 3.65E+01 2.48E+01 2.70E+01 3.25E+01 1.45E+01 2.38E+01 2.20E+01 1.24E+01 5.35E+00 5.57E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.50  0.584  4.10E+02 4.39E+02 5.81E+03 2.95E+01 3.97E+01 3.41E+01 4.33E+01 3.38E+01 4.98E+01 3.63E+01 3.92E+01 3.02E+01 3.03E+01 2.56E+01 1.57E+01 1.17E+01 8.91E+00 7.35E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   4.75  0.600  5.50E+02 6.79E+02 1.01E+04 2.67E+01 4.01E+01 3.71E+01 6.39E+01 5.56E+01 7.32E+01 7.83E+01 7.50E+01 3.64E+01 4.55E+01 3.27E+01 3.17E+01 2.83E+01 2.00E+01 2.40E+01 1.00E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.00  0.616  7.58E+02 9.85E+02 1.55E+04 1.70E+01 3.86E+01 4.55E+01 9.06E+01 1.12E+02 1.18E+02 1.08E+02 1.04E+02 4.62E+01 4.76E+01 6.17E+01 3.67E+01 4.50E+01 5.00E+01 3.67E+01 1.67E+01 7.55E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   5.50  0.646  1.70E+03 2.79E+03 4.52E+04 6.06E+01 8.82E+01 1.72E+02 3.00E+02 3.08E+02 2.55E+02 2.94E+02 1.74E+02 1.31E+02 1.20E+02 1.65E+02 1.90E+02 1.70E+02 1.57E+02 9.17E+01 5.00E+01 4.09E+01 1.17E+01 3.33E+00 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.00  0.675  4.00E+03 6.40E+03 1.07E+05 3.38E+02 2.99E+02 4.18E+02 6.10E+02 3.73E+02 3.61E+02 4.33E+02 4.50E+02 3.78E+02 5.33E+02 4.70E+02 4.45E+02 4.08E+02 3.05E+02 2.10E+02 1.73E+02 9.67E+01 4.67E+01 3.00E+01 1.17E+01 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   6.50  0.702  8.75E+03 1.26E+04 2.10E+05 7.17E+02 9.65E+02 7.93E+02 6.03E+02 4.92E+02 8.45E+02 7.95E+02 1.13E+03 1.11E+03 1.07E+03 9.22E+02 7.95E+02 6.82E+02 5.65E+02 4.48E+02 3.12E+02 1.80E+02 8.83E+01 4.33E+01 3.16E+01 1.60E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.00  0.729  1.73E+04 2.17E+04 3.75E+05 9.04E+02 9.87E+02 1.16E+03 1.12E+03 1.24E+03 1.33E+03 1.70E+03 2.04E+03 2.17E+03 1.86E+03 1.80E+03 1.47E+03 1.04E+03 8.57E+02 6.53E+02 4.37E+02 3.37E+02 2.58E+02 1.63E+02 7.50E+01 4.60E+01 1.90E+01 8.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   7.50  0.754  3.39E+04 4.48E+04 8.11E+05 1.51E+03 1.72E+03 2.25E+03 2.87E+03 2.58E+03 2.62E+03 3.23E+03 3.83E+03 4.30E+03 4.08E+03 3.62E+03 2.79E+03 1.97E+03 1.63E+03 1.38E+03 1.28E+03 1.06E+03 8.68E+02 5.72E+02 3.27E+02 1.65E+02 8.67E+01 3.33E+01 2.00E+01 1.00E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.00  0.779  7.18E+04 1.07E+05 2.02E+06 3.84E+03 4.53E+03 5.20E+03 5.91E+03 5.48E+03 5.54E+03 7.70E+03 8.70E+03 9.30E+03 8.71E+03 7.71E+03 6.38E+03 5.24E+03 4.50E+03 4.25E+03 3.49E+03 2.97E+03 2.27E+03 1.76E+03 1.24E+03 8.27E+02 5.25E+02 2.92E+02 1.62E+02 7.67E+01 3.50E+01 4.12E+01 5.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   8.50  0.803  1.64E+05 2.62E+05 5.33E+06 4.73E+03 6.24E+03 8.95E+03 1.43E+04 1.57E+04 1.67E+04 2.03E+04 2.07E+04 1.98E+04 2.01E+04 1.88E+04 1.66E+04 1.48E+04 1.26E+04 1.09E+04 9.55E+03 7.97E+03 6.74E+03 5.48E+03 4.24E+03 2.98E+03 1.91E+03 1.18E+03 6.33E+02 3.17E+02 1.25E+02 8.23E+01 4.16E+01 6.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.00  0.826  3.78E+05 5.93E+05 1.24E+07 4.11E+03 6.90E+03 1.72E+04 3.02E+04 3.89E+04 4.34E+04 4.69E+04 4.68E+04 4.42E+04 4.39E+04 4.20E+04 3.82E+04 3.47E+04 3.02E+04 2.59E+04 2.34E+04 1.99E+04 1.64E+04 1.33E+04 9.82E+03 6.85E+03 4.51E+03 2.72E+03 1.52E+03 7.82E+02 3.92E+02 1.62E+02 6.67E+01 2.83E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   9.50  0.849  8.23E+05 1.19E+06 2.46E+07 8.64E+03 2.00E+04 3.77E+04 5.91E+04 7.68E+04 8.76E+04 9.32E+04 9.33E+04 8.86E+04 8.35E+04 7.95E+04 7.64E+04 7.04E+04 6.44E+04 5.63E+04 4.76E+04 3.89E+04 3.06E+04 2.34E+04 1.75E+04 1.24E+04 8.48E+03 5.32E+03 3.20E+03 1.74E+03 8.43E+02 3.78E+02 1.63E+02 6.67E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  10.00  0.871  1.70E+06 2.30E+06 4.75E+07 2.73E+04 5.15E+04 8.39E+04 1.19E+05 1.46E+05 1.62E+05 1.70E+05 1.69E+05 1.63E+05 1.57E+05 1.56E+05 1.52E+05 1.43E+05 1.29E+05 1.10E+05 8.90E+04 7.15E+04 5.55E+04 4.35E+04 3.32E+04 2.47E+04 1.75E+04 1.21E+04 7.64E+03 4.55E+03 2.65E+03 1.39E+03 6.88E+02 4.90E+02 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  11.00  0.914  8.23E+06 1.08E+07 2.36E+08 1.48E+05 2.67E+05 3.83E+05 5.00E+05 5.78E+05 6.42E+05 7.04E+05 7.35E+05 7.39E+05 7.36E+05 7.15E+05 6.81E+05 6.39E+05 5.82E+05 5.20E+05 4.47E+05 3.74E+05 3.09E+05 2.50E+05 2.03E+05 1.64E+05 1.31E+05 1.02E+05 7.65E+04 5.44E+04 3.67E+04 2.30E+04 1.36E+04 1.44E+04 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  12.00  0.954  3.93E+07 5.15E+07 1.17E+09 7.12E+05 1.31E+06 1.80E+06 2.21E+06 2.51E+06 2.78E+06 3.05E+06 3.28E+06 3.43E+06 3.49E+06 3.43E+06 3.26E+06 3.02E+06 2.75E+06 2.47E+06 2.19E+06 1.92E+06 1.65E+06 1.40E+06 1.16E+06 9.46E+05 7.53E+05 5.83E+05 4.38E+05 3.19E+05 2.22E+05 1.50E+05 9.45E+04 1.22E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  13.00  0.993  1.68E+08 2.06E+08 4.76E+09 2.29E+06 4.42E+06 6.46E+06 8.37E+06 1.00E+07 1.14E+07 1.26E+07 1.34E+07 1.38E+07 1.37E+07 1.34E+07 1.27E+07 1.19E+07 1.10E+07 1.01E+07 9.07E+06 8.04E+06 6.97E+06 5.91E+06 4.88E+06 3.94E+06 3.10E+06 2.40E+06 1.81E+06 1.35E+06 9.83E+05 7.20E+05 4.80E+05 7.98E+05 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  14.00  1.031  7.12E+08 8.81E+08 2.13E+10 8.76E+06 1.73E+07 2.57E+07 3.38E+07 4.07E+07 4.64E+07 5.07E+07 5.35E+07 5.50E+07 5.54E+07 5.48E+07 5.32E+07 5.08E+07 4.76E+07 4.39E+07 3.99E+07 3.57E+07 3.13E+07 2.70E+07 2.29E+07 1.91E+07 1.56E+07 1.26E+07 1.01E+07 7.91E+06 6.14E+06 4.94E+06 3.43E+06 7.07E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  15.00  1.067  2.24E+09 2.17E+09 5.38E+10 2.02E+07 4.03E+07 6.01E+07 7.91E+07 9.59E+07 1.10E+08 1.20E+08 1.27E+08 1.31E+08 1.32E+08 1.32E+08 1.29E+08 1.24E+08 1.18E+08 1.09E+08 1.00E+08 8.98E+07 7.95E+07 6.94E+07 5.97E+07 5.07E+07 4.24E+07 3.49E+07 2.83E+07 2.25E+07 1.77E+07 1.45E+07 1.02E+07 2.18E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
