# Z   N   A      M      Etot    Emac    Emic     b2      b3      b4      b5      b6      b7      b8
  89 137 226   23.58   -3.02    3.46   -6.48    0.16    0.10    0.10    0.04    0.02    0.00   -0.02
  89 138 227   25.48   -2.55    3.26   -5.81    0.16    0.09    0.09    0.03    0.02    0.00   -0.01
  89 139 228   28.25   -2.72    3.13   -5.86    0.18    0.02    0.11    0.00    0.03    0.00   -0.02
  90 137 227   25.15   -2.53    3.41   -5.94    0.17    0.10    0.09    0.04    0.02    0.00   -0.02
  90 138 228   26.62   -2.13    3.13   -5.26    0.18    0.00    0.11    0.00    0.03    0.00   -0.01
  90 139 229   29.06   -2.55    3.10   -5.65    0.19   -0.02    0.11   -0.01    0.03    0.00   -0.02
  90 140 230   30.71   -2.25    2.91   -5.16    0.19    0.00    0.11    0.00    0.02    0.00   -0.02
  90 141 231   33.33   -2.76    2.81   -5.57    0.20    0.00    0.10    0.00    0.01    0.00   -0.02
  90 142 232   35.30   -2.40    2.67   -5.07    0.20    0.00    0.10    0.00    0.01    0.00   -0.02
  90 143 233   38.35   -2.74    2.69   -5.44    0.21    0.00    0.10    0.00    0.00    0.00   -0.02
  90 144 234   40.47   -2.51    2.50   -5.01    0.21    0.00    0.09    0.00    0.00    0.00   -0.02
  91 139 230   31.01   -3.47    3.37   -6.84    0.19    0.00    0.12    0.00    0.03    0.00   -0.02
  91 140 231   32.60   -3.14    3.21   -6.34    0.20    0.00    0.11    0.00    0.02    0.00   -0.02
  91 141 232   34.85   -3.67    3.14   -6.81    0.20    0.00    0.11    0.00    0.02    0.00   -0.02
  91 142 233   36.80   -3.25    3.02   -6.27    0.20    0.00    0.11    0.00    0.01    0.00   -0.02
  91 143 234   39.55   -3.55    2.97   -6.53    0.21    0.00    0.11    0.00    0.01    0.00   -0.02
  92 139 231   33.07   -2.97    3.29   -6.26    0.20    0.01    0.12    0.00    0.03    0.00   -0.02
  92 140 232   34.30   -2.65    3.10   -5.75    0.20    0.00    0.11    0.00    0.02    0.00   -0.02
  92 141 233   36.39   -3.26    2.95   -6.21    0.21    0.00    0.11    0.00    0.01    0.00   -0.02
  92 142 234   37.98   -2.86    2.82   -5.68    0.21    0.00    0.11    0.00    0.01    0.00   -0.02
  92 143 235   40.57   -3.23    2.84   -6.06    0.21    0.00    0.11    0.00    0.00    0.00   -0.02
  92 144 236   42.28   -2.97    2.54   -5.51    0.21    0.00    0.10    0.00    0.00    0.00   -0.02
  92 145 237   45.03   -3.44    2.66   -6.10    0.23    0.00    0.09    0.00   -0.01    0.00   -0.03
  92 146 238   47.15   -3.04    2.47   -5.50    0.23    0.00    0.09    0.00   -0.01    0.00   -0.03
